artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
eek-a-mouse,controversial song,2019,0.001074114,0.48274171,0.125014938,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.37505753,0.722733673,0.758862325,0.5625489,https://www.youtube.com/watch?v=Yco8vyMjjfs
vybz kartel,in stock,2019,0.020920721,0.157725998,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.372100818,0.000923361,0.000923361,0.000923361,0.646918661,0.782563891,0.87186787,https://www.youtube.com/watch?v=u_77_Xqp3VI
kash'd out,gimme love,2019,0.00150376,0.00150376,0.19058273,0.337774376,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.053080623,0.001503759,0.001503759,0.740062818,0.721764221,0.706697547,https://www.youtube.com/watch?v=zlTLyKKBypA
vybz kartel,loving every minute,2019,0.023344054,0.186120118,0.177830541,0.000572082,0.000572082,0.000572082,0.112361217,0.000572082,0.458826357,0.000572082,0.000572082,0.000572082,0.705404527,0.938169827,0.794788386,https://www.youtube.com/watch?v=9v_CtsI5C50
don carlos,play it again,2019,0.001949318,0.329252074,0.001949318,0.001949318,0.001949318,0.001949318,0.163116831,0.284145409,0.194245919,0.001949318,0.001949318,0.001949318,0.688075382,0.522877164,0.832827612,https://www.youtube.com/watch?v=Xh--FUd4Q5g
popcaan,traumatized,2019,0.000809717,0.42144794,0.000809717,0.000809717,0.03358028,0.000809717,0.000809717,0.086316239,0.223785782,0.000809717,0.033857329,0.000809717,0.638254089,0.452802968,0.675665546,https://www.youtube.com/watch?v=NF9YWPilc7g
vybz kartel,tek it out,2019,0.000877193,0.000877193,0.000877193,0.000877193,0.036926614,0.000877193,0.000877193,0.00091553,0.426125302,0.000877193,0.224834846,0.000877193,0.91118813,0.74649629,0.715706837,https://www.youtube.com/watch?v=fpaD2ZO9QD0
michael franti & spearhead,nobody cries alone,2019,0.000515996,0.000515996,0.000515996,0.045205457,0.000515996,0.158173182,0.041794321,0.061147819,0.000515996,0.025393723,0.130272132,0.361143301,0.775804181,0.608408904,0.573560255,https://www.youtube.com/watch?v=ACGYhLU93ZQ
sticky fingers,hyper,2019,0.000542594,0.000542594,0.080641391,0.000542594,0.021625083,0.000542594,0.000542594,0.129526573,0.358015121,0.05505932,0.000542594,0.160853304,0.32632947,0.572341303,0.835830709,https://www.youtube.com/watch?v=aNN7nA0ZtFc
christopher martin,can't dweet again,2019,0.000611995,0.1149994,0.093782615,0.000611995,0.000611995,0.000611995,0.000611995,0.000611995,0.067847646,0.017747602,0.000611995,0.363348448,0.627423373,0.590890354,0.586573675,https://www.youtube.com/watch?v=d9pKaHzwZs0
six60,the greatest,2019,0.000619195,0.088589338,0.062217398,0.000619195,0.037841386,0.025337925,0.000619195,0.25597266,0.000619195,0.000619195,0.000619195,0.329457269,0.609011156,0.313685078,0.621609804,https://www.youtube.com/watch?v=QubT0G1-TPI
steel pulse,cry cry blood,2019,0.000434972,0.58880103,0.017785339,0.000434972,0.120907834,0.000434972,0.013483945,0.037571247,0.000434972,0.000434972,0.000434972,0.000434972,0.879779053,0.897980214,0.728720256,https://www.youtube.com/watch?v=aO7fmxoFtIw
sensi trails,she love,2019,0.033164665,0.000674764,0.111583394,0.030317963,0.000674764,0.000674764,0.032715005,0.000674764,0.612658192,0.000674764,0.054626772,0.000674764,0.864616051,0.845424567,0.513498319,https://www.youtube.com/watch?v=Lf6SUje3TQU
steel pulse,don't shoot,2019,0.001119821,0.28595723,0.001119821,0.001119821,0.001119821,0.001119821,0.001119821,0.001119821,0.22609777,0.001119821,0.133818929,0.314986264,0.859200693,0.7856554,0.741733676,https://www.youtube.com/watch?v=a8tzX1bc9hk
the holdup,pretend,2019,0.001315789,0.00131579,0.00131579,0.00131579,0.001315789,0.001315789,0.00131579,0.335739829,0.534185842,0.085941068,0.00131579,0.00131579,0.673995451,0.612530915,0.662652127,https://www.youtube.com/watch?v=hH7uncPeuNU
third world,na na na,2019,0.001074114,0.106499493,0.412403309,0.001074114,0.001074114,0.001074114,0.001074114,0.12296707,0.14548309,0.001074114,0.001074114,0.001074114,0.810462472,0.567188788,0.586573675,https://www.youtube.com/watch?v=7GizBdNvraA
steel pulse,human trafficking,2019,0.000923361,0.416884204,0.079951378,0.000923361,0.000923361,0.000923361,0.000923361,0.096509407,0.000923361,0.000923361,0.000923361,0.064329048,0.86353298,0.572341303,0.620608772,https://www.youtube.com/watch?v=N31qIc6cD60
half pint,young and innocent,2019,0.000572082,0.139032335,0.000572082,0.000572082,0.01876078,0.069753394,0.000572082,0.000572082,0.488484449,0.000572082,0.0478449,0.000572082,0.840788476,0.862943116,0.378358964,https://www.youtube.com/watch?v=x9Suvao3Awc
steel pulse,thank the rebels,2019,0.000797448,0.198676387,0.519975088,0.000797448,0.092310826,0.000797448,0.000797448,0.000797448,0.000797448,0.000797448,0.000797448,0.000797448,0.838622333,0.745465787,0.645634578,https://www.youtube.com/watch?v=Fo_XDWrHT14
popcaan,level up,2019,0.000993049,0.315887356,0.142020085,0.000993049,0.04355703,0.000993049,0.000993049,0.051108324,0.225517656,0.000993049,0.054000638,0.000993049,0.576519008,0.404369332,0.660650062,https://www.youtube.com/watch?v=3AND4DdKORM
the movement,ways of the world,2019,0.017134637,0.065221225,0.114683331,0.029598026,0.010130777,0.055788515,0.000487329,0.000487329,0.595591069,0.000487329,0.000487329,0.000487329,0.667497022,0.687757626,0.892889548,https://www.youtube.com/watch?v=KK49UIz9ZiA
the holdup,closet's all black,2019,0.013231259,0.100785421,0.068545525,0.000521105,0.000521105,0.000521105,0.000521105,0.341756058,0.46838627,0.000521105,0.000521105,0.000521105,0.821293187,0.965993405,0.758751224,https://www.youtube.com/watch?v=awYPK5z4qVI
311,stainless,2019,0.169711585,0.121514267,0.312209199,0.050167627,0.017239809,0.016649502,0.000797448,0.000797448,0.057258772,0.052117081,0.000797448,0.053689181,0.632838731,0.51772465,0.855851354,https://www.youtube.com/watch?v=HFxfmLiQRHo
pepper,candy,2019,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.019781921,0.000974659,0.000974659,0.42756053,0.000974659,0.046399672,0.000974659,0.651250948,0.809356966,0.67266245,https://www.youtube.com/watch?v=EilfCZK6X0M
the movement,honey,2019,0.000956938,0.105422482,0.091274074,0.000956938,0.000956938,0.029185261,0.000956938,0.342322762,0.374335362,0.000956938,0.000956938,0.000956938,0.656666306,0.830997527,0.694685159,https://www.youtube.com/watch?v=mb37ta4ssdQ
walshy fire,call me,2019,0.156334884,0.000993049,0.000993049,0.000993049,0.197487657,0.000993049,0.302216376,0.026371335,0.000993049,0.02648908,0.1372781,0.141905983,0.632838731,0.655812036,0.515500384,https://www.youtube.com/watch?v=wsUlpNgvgvs
the movement,life is a circle,2019,0.000537057,0.000537057,0.481473663,0.000537057,0.000537057,0.013001818,0.000537057,0.000537057,0.122594067,0.000537057,0.099140729,0.03892204,0.704321456,0.820692498,0.68167174,https://www.youtube.com/watch?v=jrgEb-rvYZ8
sublime with rome,one day at a time,2019,0.038669139,0.053094861,0.080826794,0.349289848,0.038270606,0.000848896,0.000848897,0.056615478,0.061060278,0.000848896,0.216775283,0.000848896,0.557023719,0.915498763,0.926924645,https://www.youtube.com/watch?v=UwEtMsrWytY
311,dodging raindrops,2019,0.000604961,0.401095755,0.075286276,0.166893074,0.024122537,0.000604961,0.000604961,0.000604961,0.14091604,0.000604961,0.000604961,0.000604961,0.606845012,0.523907667,0.759752257,https://www.youtube.com/watch?v=apnMQyzGQDE
311,good feeling,2019,0.023886012,0.000355619,0.166385563,0.000355619,0.015679799,0.000355619,0.000355619,0.073016527,0.071559784,0.000355619,0.149455801,0.000355619,0.677244666,0.42497939,0.898895741,https://www.youtube.com/watch?v=ggMH9vpC60c
sublime with rome,blackout,2019,0.000337382,0.000337382,0.000337382,0.126677316,0.116856803,0.006800616,0.000337382,0.000337382,0.000337382,0.000337382,0.022287268,0.321667598,0.704321456,0.301319044,0.768761547,https://www.youtube.com/watch?v=WJ8KdQGFjEU
dirty heads,lighthouse,2019,0.001503759,0.00150376,0.001503759,0.00150376,0.001503759,0.001503759,0.074913766,0.066046425,0.001503759,0.001503759,0.001503759,0.377184083,0.715152172,0.719703215,0.399380641,https://www.youtube.com/watch?v=WpnFYOs5cD8
dirty heads,cloudlifter,2019,0.000956938,0.085893878,0.057893842,0.03127228,0.000956938,0.000956938,0.000956938,0.063247086,0.319164863,0.066942082,0.000956938,0.000956938,0.377233835,0.216817807,0.682672772,https://www.youtube.com/watch?v=0MVR32ERAag
dirty heads,horsefly,2019,0.000389864,0.115089788,0.101373004,0.129491181,0.025464285,0.000389864,0.000389864,0.060180085,0.071734102,0.000389864,0.120766165,0.020596545,0.702155312,0.703215169,0.676666579,https://www.youtube.com/watch?v=VTJmvZMGf9c
dirty heads,tender boy,2019,0.000974659,0.077326768,0.308827724,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.126063106,0.038185245,0.023685094,0.274984663,0.703238384,0.777411377,0.523508642,https://www.youtube.com/watch?v=cTlYSCrYQ9I
dirty heads,fear & love,2019,0.000797448,0.379848695,0.000797448,0.032990166,0.017499654,0.000797448,0.000797448,0.138357035,0.000797448,0.000797448,0.000797448,0.052892966,0.742228961,0.866034625,0.806800773,https://www.youtube.com/watch?v=6vUMo9vomqw
iya terra,wash away,2019,0.120320535,0.000683527,0.603751199,0.021280035,0.014163892,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.197534648,0.669663165,0.923742786,0.878875096,https://www.youtube.com/watch?v=OYK4NXeHbhY
soja,morning,2019,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.080911004,0.754773887,0.002392345,0.002392345,0.002392345,0.664247807,0.559975268,0.699690321,https://www.youtube.com/watch?v=QrgX3HgbNuE
the holdup,acting up,2019,0.0180972,0.000835422,0.000835422,0.019582237,0.000835422,0.000835422,0.000835422,0.364490319,0.41652631,0.024017436,0.076038448,0.000835422,0.729232102,0.542456719,0.57556232,https://www.youtube.com/watch?v=l75svjRaiyg
gyptian,hold me,2019,0.000701754,0.000701754,0.040227984,0.000701754,0.000701754,0.000701754,0.000701754,0.000701754,0.628865517,0.016310665,0.243569929,0.000701754,0.785551825,0.757831822,0.80980387,https://www.youtube.com/watch?v=O6SeD1xE7NA
the hip abduction,future,2019,0.000386997,0.121547219,0.134679964,0.000386997,0.010578365,0.000386997,0.000386997,0.104960033,0.315355345,0.000386997,0.000386997,0.000386997,0.722733673,0.488870569,0.73472645,https://www.youtube.com/watch?v=f_RP11jKQJg
iya terra,hold ah vibes,2019,0.000835422,0.218003811,0.213476145,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.000835422,0.020848722,0.307124544,0.665330878,0.450741962,0.717708901,https://www.youtube.com/watch?v=Xf5Y2tYXF8o
the holdup,would you,2019,0.042840428,0.000634115,0.148674322,0.108724944,0.063891467,0.000634115,0.000634115,0.000634115,0.379435248,0.000634115,0.088244084,0.000634115,0.742228961,0.823784007,0.580567481,https://www.youtube.com/watch?v=EYK84AQzKNc
through the roots,catch a flight,2019,0.001754386,0.146431638,0.001754386,0.001754386,0.001754386,0.001754386,0.039597698,0.176446755,0.001754386,0.001754386,0.001754386,0.577536945,0.753059677,0.629018961,0.655644901,https://www.youtube.com/watch?v=ZIQDwmcMilo
vybz kartel,fuckability,2019,0.029419599,0.220885042,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.000692521,0.37774856,0.000692521,0.295016693,0.000692521,0.737896675,0.533182193,0.558544771,https://www.youtube.com/watch?v=wRUSPvp8zts
tarrus riley,i'm an israelite,2019,0.001052632,0.048528701,0.301952265,0.049135948,0.139741782,0.001052632,0.001052632,0.001052632,0.001052632,0.021476526,0.001052632,0.001052632,0.697823026,0.618713932,0.751743998,https://www.youtube.com/watch?v=SERd7z9fDWk
vybz kartel,badmind,2019,0.000666223,0.000666223,0.199141355,0.000666223,0.000666223,0.000666223,0.000666223,0.000666223,0.50081576,0.044232632,0.149703355,0.053417601,0.785551825,0.716611707,0.665655224,https://www.youtube.com/watch?v=vJ79bKKK8jw
pepper,goddaughter (feat. e.n young),2019,0.027289537,0.00131579,0.371221884,0.00131579,0.00131579,0.035440737,0.001315789,0.230762036,0.001315789,0.001315789,0.029296213,0.00131579,0.5234485,0.649629019,0.866862709,https://www.youtube.com/watch?v=m6E-nRVmDqw
pepper,truth,2019,0.000521105,0.036628987,0.056563896,0.000521105,0.0319143,0.000521105,0.036754089,0.285942949,0.378767236,0.070519167,0.000521105,0.000521105,0.912271201,0.552761748,0.618606707,https://www.youtube.com/watch?v=6ZOnN0pXGUc
babe rainbow,something new,2019,0.059236715,0.001949318,0.001949318,0.163844202,0.001949318,0.001949318,0.001949318,0.273320749,0.001949318,0.001949318,0.001949318,0.474358567,0.614426514,0.735160758,0.59758503,https://www.youtube.com/watch?v=IkWfuQvVcV8
masicka,blessing,2019,0.010967707,0.057769124,0.306569738,0.000501253,0.000501253,0.000501253,0.000501253,0.000501253,0.237693016,0.000501253,0.208621029,0.000501253,0.620924943,0.382728772,0.695686192,https://www.youtube.com/watch?v=GmkNxBVc0v4
lake street dive,i can change,2018,0.001052632,0.105148378,0.590881258,0.158460792,0.001052632,0.001052632,0.022282169,0.001052632,0.001052632,0.001052632,0.001052632,0.067713887,0.524531572,0.296166529,0.193167995,https://www.youtube.com/watch?v=00fYHljn8aU
yungblud,kill somebody,2018,0.001503759,0.350755384,0.05618802,0.00150376,0.001503759,0.001503759,0.001503759,0.001503759,0.049577103,0.001503759,0.147361606,0.001503759,0.716235243,0.529060181,0.795789418,https://www.youtube.com/watch?v=FVvzd00zBmk
a perfect circle,the doomed,2018,0.003289474,0.313510873,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.330661757,0.221970322,0.903900903,https://www.youtube.com/watch?v=SDvfbvuJtS8
soccer mommy,your dog,2018,0.002770083,0.379433174,0.002770083,0.002770083,0.002770083,0.055485047,0.002770083,0.103935751,0.1018084,0.002770083,0.002770083,0.002770083,0.63933716,0.768136851,0.669659353,https://www.youtube.com/watch?v=Ouem6cFXJvA
fall out boy,church,2018,0.003289474,0.37350481,0.322295388,0.003289474,0.003289474,0.124957168,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.333910972,0.388911789,0.901898838,https://www.youtube.com/watch?v=l3vbvF8bQfI
