artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
rainbow kitten surprise,lady lie,2015,0.170538197,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.039778828,0.00150376,0.001503759,0.001503759,0.203776857,0.306652148,0.437885844,0.282769992,0.302280512,https://www.youtube.com/watch?v=7rEZGCVOsf0
cage the elephant,cold cold cold,2015,0.000395726,0.442867517,0.067847509,0.144255056,0.033045698,0.046826658,0.016975726,0.000395726,0.073688412,0.000395726,0.000395726,0.069067039,0.527780786,0.712489695,0.789783224,https://www.youtube.com/watch?v=n95eekfFZZg
drake,10 bands,2015,0.000457666,0.000457666,0.000457666,0.090733861,0.017298768,0.011765201,0.000457666,0.076707521,0.475492981,0.095781462,0.000457666,0.000457666,0.837539261,0.872217642,0.75674916,https://www.youtube.com/watch?v=tcL2B0ilMZw
galantis,peanut butter jelly,2015,0.001169591,0.001169591,0.001169591,0.001169591,0.001169591,0.001169591,0.001169591,0.001169591,0.40387167,0.001169591,0.205408269,0.001169591,0.699989169,0.537304204,0.945944258,https://www.youtube.com/watch?v=4jBDnYE1WjI
halsey,ghost,2015,0.000835422,0.451804847,0.057203341,0.021656877,0.000835422,0.000835422,0.043701841,0.171233555,0.000835422,0.000835422,0.10325437,0.000835422,0.55052529,0.194146744,0.60659432,https://www.youtube.com/watch?v=ao4o-XRU_KM
oh wonder,all we do,2015,0.001144165,0.130650556,0.001144165,0.079999635,0.001144165,0.001144165,0.001144165,0.001144165,0.001144165,0.001144165,0.001144165,0.497755274,0.572186722,0.352844188,0.242218576,https://www.youtube.com/watch?v=xPGREQvK-dQ
kygo,stay,2015,0.013171872,0.000626566,0.000626566,0.000626566,0.046331601,0.000626566,0.000626566,0.000626566,0.000626566,0.000626566,0.000626566,0.856154524,0.635004874,0.365210223,0.736728514,https://www.youtube.com/watch?v=WUG2guLUtuo
travis scott,pray 4 love (feat. the weeknd),2015,0.049056476,0.037241634,0.09530899,0.002192983,0.002192983,0.002192983,0.047959971,0.130322257,0.002192983,0.002192983,0.002192983,0.381860749,0.614426514,0.193116241,0.578565417,https://www.youtube.com/watch?v=mH9YyB-l4iM
major lazer,powerful,2015,0.00074129,0.00074129,0.00074129,0.11364917,0.00074129,0.016027023,0.429809023,0.00074129,0.00074129,0.00074129,0.048642944,0.075445482,0.368569262,0.699093157,0.794788386,https://www.youtube.com/watch?v=o6b9JpBFjd4
drake,6 god,2015,0.000487329,0.000487329,0.000487329,0.000487329,0.089598971,0.036686868,0.000487329,0.248649455,0.474584389,0.032268594,0.033818798,0.000487329,0.861366836,0.467230008,0.639628385,https://www.youtube.com/watch?v=CAzsA2OCZFs
little mix,love me or leave me,2015,0.050184858,0.000785546,0.000785546,0.000785546,0.020245445,0.000785546,0.053151496,0.409002802,0.000785546,0.000785546,0.000785546,0.456417754,0.456298061,0.353874691,0.368348641,https://www.youtube.com/watch?v=ySxcz7EVl-o
melanie martinez,teddy bear,2015,0.001422475,0.410850793,0.001422475,0.001422475,0.001422475,0.001422475,0.09591419,0.289055121,0.094072349,0.041047524,0.001422475,0.050567846,0.632838731,0.655812036,0.656645933,https://www.youtube.com/watch?v=pyuAEmge5p8
one direction,drag me down,2015,0.066153379,0.472069704,0.181825975,0.000822368,0.032613726,0.000822368,0.000822368,0.000822368,0.000822368,0.000822368,0.000822368,0.050289086,0.716235243,0.60016488,0.711702708,https://www.youtube.com/watch?v=Jwgf3wmiA04
yo gotti,fuck you (feat. meek mill),2015,0.000398724,0.000398724,0.000398724,0.015012251,0.000398724,0.000398724,0.000398724,0.192160512,0.772841839,0.000398724,0.000398724,0.000398724,0.718401386,0.38582028,0.722714063,https://www.youtube.com/watch?v=6GICixqFFpE
san holo,we rise,2015,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.322093486,0.742228961,0.827906018,0.49147561,https://www.youtube.com/watch?v=v8B5AOljhsY
deorro,five more hours,2015,0.124841311,0.000526316,0.000526316,0.250259365,0.100610805,0.011343387,0.000526316,0.000526316,0.304378458,0.000526316,0.000526316,0.110076903,0.690241525,0.489901072,0.883880257,https://www.youtube.com/watch?v=j3CaHeakZF4
bÃÂ¸rns,past lives,2015,0.00131579,0.001315789,0.59227476,0.08857733,0.001315789,0.001315789,0.00131579,0.00131579,0.00131579,0.001315789,0.070761123,0.07745347,0.737896675,0.43219291,0.685675869,
carly rae jepsen,run away with me,2015,0.075736918,0.000515996,0.000515996,0.060407014,0.021336846,0.000515996,0.031331425,0.000515996,0.154145639,0.000515996,0.000515996,0.318540366,0.54402686,0.234336356,0.719710966,https://www.youtube.com/watch?v=N7aq7xxvm78
travis scott,apple pie,2015,0.026108414,0.048101895,0.000634115,0.100249,0.093158756,0.082895545,0.000634115,0.099799312,0.334487326,0.000634115,0.000634115,0.047450732,0.642586375,0.26422094,0.496480771,https://www.youtube.com/watch?v=cLx87ceoNT8
drake,right hand,2015,0.000666223,0.000666223,0.043642084,0.000666223,0.000666223,0.000666223,0.000666223,0.395277501,0.399838941,0.000666223,0.064664462,0.000666223,0.909021986,0.323990107,0.292270189,https://www.youtube.com/watch?v=WijyreyFnwI
ben rector,"30,000 feet",2015,0.000956938,0.613748,0.164078214,0.076128563,0.000956938,0.000956938,0.028398603,0.000956938,0.000956938,0.000956938,0.000956938,0.10424949,0.534279216,0.306471558,0.452435351,https://www.youtube.com/watch?v=50aek8U-oXs
wiz khalifa,go hard or go home,2015,0.000453721,0.06515973,0.000453721,0.022154205,0.000453721,0.279485443,0.000453721,0.000453721,0.433898047,0.000453721,0.000453721,0.117580844,0.638254089,0.373454246,0.741733676,https://www.youtube.com/watch?v=D_VRSFpUcp0
mac miller,brand name,2015,0.045518563,0.085603748,0.078589316,0.000487329,0.071005078,0.000487329,0.000487329,0.000487329,0.380852062,0.000487329,0.000487329,0.000487329,0.350157045,0.38582028,0.710701676,https://www.youtube.com/watch?v=vuCyrtGQhAk
wiz khalifa,king of everything,2015,0.000421053,0.000421053,0.000421053,0.029331313,0.000421053,0.000421053,0.000421053,0.000421053,0.784083564,0.000421053,0.000421053,0.000421053,0.754142749,0.394064303,0.75674916,https://www.youtube.com/watch?v=8d0cm_hcQes
tyga,ice cream man,2015,0.016200586,0.000598086,0.000598086,0.000598086,0.01695214,0.017237042,0.000598086,0.000598086,0.612415649,0.051890503,0.111534968,0.000598086,0.910105058,0.377576257,0.670660385,https://www.youtube.com/watch?v=TYSM8GAFR5I
troye sivan,bite,2015,0.000762777,0.363109788,0.000762777,0.033550316,0.000762777,0.000762777,0.270000912,0.000762777,0.000762777,0.030490362,0.030353209,0.000762777,0.573269793,0.045548228,0.402383738,https://www.youtube.com/watch?v=fLuWMOF6vOU
diplo,be right there,2015,0.018349997,0.00075188,0.02049786,0.174348574,0.00075188,0.015093326,0.00075188,0.00075188,0.00075188,0.00075188,0.016169489,0.698947769,0.685909239,0.281739489,0.797791483,https://www.youtube.com/watch?v=w-5PHBFLMLk
the weeknd,as you are,2015,0.200234719,0.000674764,0.000674764,0.000674764,0.23075041,0.013702905,0.000674764,0.215476511,0.000674764,0.000674764,0.000674764,0.303503594,0.334994043,0.031224237,0.329308383,https://www.youtube.com/watch?v=8CWy_-afIpY
allie x,bitch,2015,0.000974659,0.113228229,0.000974659,0.000974659,0.000974659,0.000974659,0.000974659,0.094506616,0.534126711,0.051748494,0.000974659,0.171918508,0.589515867,0.054307502,0.642631482,https://www.youtube.com/watch?v=c_xw1JDLN_A
roy woods,get you good,2015,0.020915884,0.000373274,0.000373274,0.03932654,0.000373274,0.052576843,0.000373274,0.108533513,0.329639054,0.000373274,0.029342187,0.000373274,0.680493881,0.314715581,0.502486965,https://www.youtube.com/watch?v=bzefB3CtjnI
